Date,Rainfall (mm),Soil Moisture,NDVI
2024-01-01,27.34499874193954,0.25017255208126615,0.4468830806041267
2024-01-02,,0.25288139551362,
2024-01-03,,0.2600227055339845,
2024-01-04,,0.2635344989424074,
2024-01-05,,0.2627090194101788,
2024-01-06,11.311716156518855,0.2556137205045978,0.4489167823352803
2024-01-07,,0.2523066760021576,
2024-01-08,,0.24977851670346074,
2024-01-09,,0.23764661895655312,
2024-01-10,,0.22930616625106834,
2024-01-11,11.248653764201967,0.22396080634005716,
2024-01-12,,0.2197423996057955,
2024-01-13,,0.2174658420159799,
2024-01-14,,0.21816510795319485,
2024-01-15,,0.21458601548110684,
2024-01-16,3.688016959166462,0.2101649148008006,
2024-01-17,,0.20269085761546732,
2024-01-18,,0.1964866175022371,
2024-01-19,,0.1910507158275682,
2024-01-20,,0.18647623023650942,
2024-01-21,11.552658318869858,0.1829523410440748,
2024-01-22,,0.1798255596196371,
2024-01-23,,0.1776700055098789,
2024-01-24,,0.1764293231684942,
2024-01-25,,0.1981092017033147,
2024-01-26,28.588506832236643,0.33637951148408596,
2024-01-27,,0.32922914889735566,
2024-01-28,,0.31791255446414396,
2024-01-29,,0.28688287854619293,
2024-01-30,,0.26571988883543324,
2024-01-31,,0.24976616555156614,
2024-02-01,16.855341313148823,0.23869285594564257,
2024-02-02,,0.23473786704686564,
2024-02-03,,0.2309564477805201,
2024-02-04,,0.22023424693304394,
2024-02-05,,0.21211436588791593,
2024-02-06,15.869958235993014,0.20580074468633408,
2024-02-07,,0.19934493832888422,
2024-02-08,,0.2296819015567702,
2024-02-09,,0.24837022259275143,
2024-02-10,,0.2355210743073814,
2024-02-11,16.381577285325662,0.22383406051004687,
2024-02-12,,0.2132365122451321,
2024-02-13,,0.20695902045553555,
2024-02-14,,0.20490903176490977,
2024-02-15,,0.19928395378860173,0.4495667036188856
2024-02-16,15.744952669137536,0.19298123770990744,
2024-02-17,,0.22028981050035756,
2024-02-18,,0.24048247059509267,
2024-02-19,,0.22625423152450563,
2024-02-20,,0.21388898507317947,0.4560124786237014
2024-02-20,,0.21388898507317947,0.4526919097634859
2024-02-21,29.875575458210314,0.2067541969881946,
2024-02-22,,0.20281842212295156,
2024-02-23,,0.19697465250862212,
2024-02-24,,0.2636044263671717,
2024-02-25,,0.30173627647520845,
2024-02-26,7.322105930219015,0.2824353513870911,
2024-02-27,,0.25818364121367776,
2024-02-28,,0.24112032472796183,
2024-02-29,,0.23045887090612832,
2024-03-01,14.193347705332062,0.22340295126554283,
2024-03-02,,0.21398636775884688,
2024-03-03,,0.20582157890984626,
2024-03-04,,0.1980551800535279,
2024-03-05,,0.19351194637672353,
2024-03-06,27.117273401925242,0.19093770255985826,0.4882971194099662
2024-03-06,27.117273401925242,0.19093770255985826,0.4904858666074886
2024-03-07,,0.18786120179825877,
2024-03-08,,0.2860414692982464,
2024-03-09,,0.3046769324703662,
2024-03-10,,0.2713857965934714,
2024-03-11,23.888492993177273,0.2613590040293385,
2024-03-12,,0.2479180995087361,
2024-03-13,,0.23149907667057942,
2024-03-14,,0.22642938870510515,
2024-03-15,,0.22485344829980997,
2024-03-16,14.130386472780756,0.21402024816906506,0.49174584452847314
2024-03-16,14.130386472780756,0.21402024816906506,0.479970945059658
2024-03-17,,0.2040727363899632,
2024-03-18,,0.196003903106527,
2024-03-19,,0.21784400344213242,
2024-03-20,,0.28821871698685547,
2024-03-21,27.33037835762425,0.2683089544298638,0.4265000840780219
2024-03-22,,0.257852352015533,
2024-03-23,,0.2511243225834147,
2024-03-24,,0.23380303294339785,
2024-03-25,,0.22417782723258842,
2024-03-26,29.70632995381071,0.24263775335787294,
2024-03-27,,0.24682513802385558,
2024-03-28,,0.23923637843727197,
2024-03-29,,0.2244458293382548,
2024-03-30,,0.21294825962260858,
2024-03-31,,0.20864086669606546,
2024-04-01,20.543976816845586,0.218399646988554,
2024-04-02,,0.2161356903565258,
2024-04-03,,0.20776629766902713,
2024-04-04,,0.2107168867781857,
2024-04-05,,0.27962139082454746,
2024-04-06,15.871846047361025,0.28694161049917755,
2024-04-07,,0.2726831665589318,
2024-04-08,,0.2568476619653815,
2024-04-09,,0.24080943312317374,
2024-04-10,,0.2577046062881916,
2024-04-11,32.375122125490996,0.2488274662976317,
2024-04-12,,0.26655079420504685,
2024-04-13,,0.3217071014449913,
2024-04-14,,0.2945650339645695,
2024-04-15,,0.2678629232687243,
2024-04-16,19.49096882629298,0.25581054537940134,
2024-04-17,,0.24669269413054123,
2024-04-18,,0.23501542042848703,
2024-04-19,,0.24202670571885068,
2024-04-20,,0.2550596151692603,
2024-04-21,13.661850383068039,0.24684453665406667,
2024-04-22,,0.23058256647299344,
2024-04-23,,0.24190959815227225,
2024-04-24,,0.25261906141977175,
2024-04-25,,0.2349744631906896,
2024-04-26,24.9601139624867,0.2248855298620521,
2024-04-27,,0.21685988775523285,
2024-04-28,,0.20693016465209876,
2024-04-29,,0.19900275212761442,
2024-04-30,,0.19303525080278625,
2024-05-01,24.77883907830472,0.18819782467496282,
2024-05-02,,0.1902268790867148,
2024-05-03,,0.19838927700089648,
2024-05-04,,0.1959344801858676,
2024-05-05,,0.1921295280752593,0.49406764135229586
2024-05-06,12.917651735987794,0.1853489474653541,
2024-05-07,,0.18222647312310095,
2024-05-08,,0.18300233627824228,
2024-05-09,,0.21834882270631242,
2024-05-10,,0.2377405648068289,0.45377226954840005
2024-05-11,17.88395728979975,0.2221829303353427,
